"TIPO CONTRIBUYENTE","SECCIÓN","GRUPO","MeasuresLevel","2020/01 Enero","2020/02 Febrero","2020/03 Marzo","2020/04 Abril","2020/05 Mayo","2020/06 Junio","2020/07 Julio","2020/08 Agosto","2020/09 Septiembre","2020/10 Octubre","2020/11 Noviembre","2020/12 Diciembre","2021/01 Enero","2021/02 Febrero","2021/03 Marzo","2021/04 Abril","2021/05 Mayo","2021/06 Junio","2021/07 Julio","2021/08 Agosto","2021/09 Septiembre","2021/10 Octubre","2021/11 Noviembre","2021/12 Diciembre","2022/01 Enero","2022/02 Febrero","2022/03 Marzo","2022/04 Abril","2022/05 Mayo","2022/06 Junio","2022/07 Julio","2022/08 Agosto","2022/09 Septiembre","2022/10 Octubre","2022/11 Noviembre","2022/12 Diciembre","2023/01 Enero","2023/02 Febrero","2023/03 Marzo","2023/04 Abril","2023/05 Mayo","2023/06 Junio","2023/07 Julio","2023/08 Agosto","2023/09 Septiembre","2023/10 Octubre","2023/11 Noviembre","2023/12 Diciembre","2024/01 Enero","2024/02 Febrero","2024/03 Marzo","2024/04 Abril","2024/05 Mayo","2024/06 Junio","2024/07 Julio","2024/08 Agosto","2024/09 Septiembre","2024/10 Octubre","2024/11 Noviembre","2024/12 Diciembre","2025/01 Enero","2025/02 Febrero","2025/03 Marzo","2025/04 Abril","2025/05 Mayo","2025/06 Junio","2025/07 Julio","2025/08 Agosto","2025/09 Septiembre","2025/10 Octubre","2025/11 Noviembre","2025/12 Diciembre","2026/01 Enero"
"NO TIENE","9","IMPUESTO A LA RENTA GLOBAL","VALOR EFECTIVO","540.46","116.27","","","","431.02","","1051.15","","490.02","","","","","1522.09","549.27","319.41","646.4","","1165.95","262.62","","1319.62","","","605.04","186.06","2147.02","","478.97","","","","","","1581.02","","","","","","","594.66","","","784.97","852.44","","255.22","","339.53","327.34","","","","622.02","618.17","","","","","","","","","","","","1029.49","","","",""
"NO TIENE","9","IMPUESTO AL VALOR AGREGADO","VALOR EFECTIVO","","54.59","","","","134.89","","","","47.69","","","","606.26","697.58","410.67","","671.35","329.92","712.11","","","481.13","","","197.79","","1255.23","0.26","211.18","","","","","","","","","2.68","","","","","","","342.52","1349.08","","111.96","","437.46","408.59","","","","","1713.2","","","","","299.52","","","","","","","","","","",""
"NO TIENE","9","INTERESES TRIBUTARIOS","VALOR EFECTIVO","3.96","7.22","","","","4.14","","7.97","","8.12","","","","8.85","15.72","14.45","2.16","8.92","2.22","12.62","1.76","","11.37","","","30.96","7.06","58.36","","4.16","","","","","","11.13","","","","","","","4.48","","","23.32","26.81","","3.06","","12.86","12.55","","","","17.28","60.01","","","","","2.6","","","","","","","7.26","","","",""
"NO TIENE","9","MULTAS TRIBUTARIAS","VALOR EFECTIVO","","","","","","","","","","48.63","","","","18.19","","49.43","32.19","33.76","","23.48","","","","","9.46","120.39","33.49","246.24","0.01","","","","","","","","","","0.49","","","","","","","28.53","","","","","","","","","","","","","","","","","","","","","314.12","","","418.82","","","418.82"
"NO TIENE","9","OTROS NO TRIBUTARIOS","VALOR EFECTIVO","","","","","","","","","","","","","1500.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NO TIENE","9","REGIMEN IMPOSITIVO SIMPLIFICADO","VALOR EFECTIVO","","91.48","","","","","94.65","26.16","","","154.51","","","14.41","","","","","","","","","","","75.05","","","","75.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NO TIENE","A","CONTRIBUCIONES","VALOR EFECTIVO","11935.47","13025.21","14516.48","87884.6","666762.63","702220.19","578696.97","49034.03","34593.36","27311.16","20536.49","4135.87","10565.1","2080.91","25759.58","280092.62","373543.09","541811.15","371692.56","21058.89","16010.91","10412.15","2675.37","330.41","8823.29","284.63","5518.12","1211314.45","1869573.35","1957418.49","2112918.09","1670832.66","1599472.82","1432841.98","121626.15","114075.94","24537.64","30654.78","42378.49","232306.4","754334.5","809158.04","680638.14","629235.47","601763.8","506872.92","120848.1","11092.5","394.41","129.13","","286308.91","102636.09","34506.98","63638.98","5308.62","","","29083.01","43045.58","28258.18","18617.49","2193.06","183505.1","36520.29","14082.03","7461.61","6657.17","76078.7","32532.53","80.7","158.06","18953.4"
"NO TIENE","A","DEPURACION","VALOR EFECTIVO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44822.83","115063.5","17781.53"
"NO TIENE","A","IMP MINERAS","VALOR EFECTIVO","","568.0","","0.1","","","","","4502.0","","","","","","","32.0","","","","","","95.28","","","","","34.0","48.0","","","","","","","","","","","","5976.0","","36.0","36.0","","","","","","","","","36.8","82.8","","","","","","","","","","","","","","","","2542.14","","","",""
"NO TIENE","A","IMP TIERRAS RURALES","VALOR EFECTIVO","657.21","7979.97","3328.19","2840.55","2718.92","3027.47","2960.24","2750.62","53.15","24.67","24.86","","37.13","66.21","43.87","41.39","","","","","","910.1","","2117.63","233.88","","2195.54","733.71","","2754.93","","","2287.69","291.81","49.68","2349.76","300.0","50.74","2396.71","","","","","255.58","","2674.87","","","","","","","","","","","","","","","","","","","","","","","","","","",""
